location_type,folio,role,age,IQ,female,educ,school_type
1,2201,1,22,125.6409,0,9,0
1,2201,2,47,84.26592,1,0,0
1,2210,1,30,84.60413,0,1,0
1,2210,2,56,96.71487,1,1,0
1,2211,1,37,120.5921,0,6,0
1,2211,2,38,110.8186,1,9,0
1,2211,3,0,103.604,0,0,0
1,2211,3,9,82.94753,0,3,1
1,2211,3,6,100.0578,0,0,0
1,2212,1,49,130.6503,0,16,0
1,2212,2,50,84.61826,1,16,0
1,2212,3,18,110.6175,1,16,1
1,2212,3,21,109.8741,0,16,0
1,2212,3,24,113.6103,1,16,0
1,2219,1,28,68.75404,0,0,0
1,2219,2,26,67.06426,1,0,0
1,2219,3,7,64.75797,1,1,1
1,2219,3,3,66.85876,0,0,0
1,2225,1,26,77.45441,0,4,0
1,2225,2,26,72.25933,1,0,0
1,2225,3,10,85.39355,1,2,1
1,2226,2,61,104.3554,1,3,0
1,2229,1,32,110.5357,0,1,0
1,2229,2,84,110.5357,1,1,0
1,2231,1,27,92.68569,0,2,0
1,2231,2,29,77.15748,1,0,0
1,2248,1,57,91.50484,0,3,0
1,2248,2,54,94.84998,1,1,0
1,2258,1,78,116.4787,0,0,0
1,2258,2,67,116.4787,1,4,0
1,2258,3,40,118.9539,1,6,0
1,2258,3,29,114.0035,1,6,0
1,2298,1,54,79.3294,0,4,0
1,2298,2,39,95.28203,1,4,0
1,2298,3,2,100.1461,1,0,0
1,2298,3,16,73.4846,1,9,0
1,2298,3,19,122.2019,0,3,0
1,2298,3,22,120.6829,0,12,0
1,2298,3,17,109.8958,0,8,0
1,2310,1,39,105.6032,0,9,0
1,2310,2,34,110.5075,1,12,0
1,2310,3,3,105.6032,0,0,0
1,2310,3,5,100.6989,0,0,0
1,2358,1,78,91.44907,0,3,0
1,2358,2,76,103.5649,1,0,0
1,2361,1,40,108.384,0,2,0
1,2361,2,39,120.0411,1,5,0
1,2361,3,21,96.47766,0,9,0
1,2361,3,16,111.0363,1,4,0
1,2361,3,9,125.9173,1,2,1
1,2361,3,10,115.2864,1,2,1
1,2367,1,68,81.63177,0,2,0
1,2367,2,66,81.63177,1,0,0
1,2367,3,24,81.63177,0,1,0
1,2374,1,47,94.22909,0,6,0
1,2374,2,46,94.67442,1,3,0
1,2374,3,24,124.2698,0,11,1
1,2374,3,19,74.82908,0,7,0
1,2375,1,68,104.3554,0,9,0
1,2378,1,41,110.1271,0,6,0
1,2378,2,32,105.4174,1,6,0
1,2378,3,8,116.1759,0,1,1
1,2378,3,12,109.7351,1,5,1
1,2378,3,6,133.9622,1,0,0
1,2378,3,13,113.7791,0,6,1
1,2378,3,4,114.8661,1,0,0
1,2379,1,80,81.89422,0,2,0
1,2379,2,77,135.5863,1,2,0
1,2404,1,29,108.7397,0,16,0
1,2404,2,27,119.4468,1,9,0
1,2404,3,1,108.7741,0,0,0
1,2404,3,5,116.7746,0,0,0
1,2404,3,8,90.13512,1,2,1
1,2407,1,42,91.8308,0,2,0
1,2407,2,37,85.3586,1,2,0
1,2407,3,2,86.76183,0,0,0
1,2407,3,11,97.84525,1,4,1
1,2407,3,5,88.64217,1,0,0
1,2407,3,8,64.09435,1,0,0
1,2407,3,9,74.35359,0,1,1
1,2407,3,12,105.2081,0,5,1
1,2424,1,42,96.96481,0,6,0
1,2424,2,40,97.81416,1,9,0
1,2424,3,12,73.51846,1,5,1
1,2424,3,15,112.8007,1,9,0
1,2424,3,17,95.27453,0,9,0
1,2453,1,46,109.1625,0,8,0
1,2453,2,49,104.4344,1,0,0
1,2453,3,26,90.34059,1,9,0
1,2453,3,27,119.3375,0,16,0
1,2453,3,18,103.8202,1,11,0
1,2456,2,33,88.66051,1,8,0
1,2467,1,47,96.74136,0,6,0
1,2467,2,43,97.38733,1,6,0
1,2469,1,46,104.1699,0,4,0
1,2469,2,52,132.9484,1,6,0
1,2469,3,19,117.668,1,12,0
1,2469,3,11,115.8855,0,4,1
1,2490,1,32,79.82592,0,2,0
1,2490,2,34,84.30502,1,4,0
1,2490,3,1,92.45174,1,0,0
1,2490,3,7,109.8562,0,1,1
