aab,nivel0,nivel1,nivel2,nivel3,nivel4,nivel5,nivel6,nivel7,nivel8,test
15,.11062264,.11226019,.075737998,.1214972,.045830648,.065148994,.027420148,.027420148,.012306727,
16,.13816382,.13943592,.10094611,.14567553,.060120866,.079753295,.033328753,.033328753,.021212138,
17,.17439049,.18484022,.13976738,.1676697,.081742786,.092299275,.044380419,.044380419,.030699085,
18,.22177026,.23697223,.18726276,.20091966,.11045118,.10283258,.060111873,.060111873,.044096299,
19,.26410332,.27310213,.22155927,.22458266,.13743855,.11634483,.08271341,.08271341,.063324772,
20,.28439137,.29811853,.24123789,.22554849,.16646555,.13348183,.11125086,.11125086,.083555087,
21,.29415798,.30992994,.24860795,.22988677,.19126984,.1482832,.1439264,.1439264,.10566878,
22,.28951037,.31334004,.24768043,.22647613,.20312776,.16121987,.17611603,.17611603,.12433831,
23,.28354543,.30382743,.24757728,.21093836,.20649157,.16828188,.19934785,.19934785,.13876912,
24,.27331319,.28674152,.23988171,.19485438,.20534469,.17401023,.21312621,.21312621,.14721915,
25,.26930764,.26889047,.22984615,.1846675,.196758,.1784711,.21306691,.21306691,.15040761,
26,.25922868,.24695784,.21638241,.16336094,.19147529,.1808448,.20154567,.20154567,.15377301,
27,.25341702,.22611453,.19566244,.14694057,.18321043,.17370163,.1824422,.1824422,.15618974,
28,.24071059,.20997128,.17303529,.13422562,.16620137,.16003852,.16603051,.16603051,.15709844,
29,.23300026,.19538151,.15375547,.1224366,.14431506,.14616399,.15532987,.15532987,.15671031,
30,.2150953,.17711039,.14177023,.11073253,.12367365,.13056605,.14375737,.14375737,.15055372,
31,.19971223,.15520312,.13440764,.099155039,.10667431,.11425267,.13061191,.13061191,.1373798,
32,.18030627,.13425726,.12247237,.08092273,.095697992,.098855123,.11414091,.11414091,.12009959,
33,.16226538,.11676122,.10356803,.063323297,.083403982,.085621282,.094432905,.094432905,.10346323,
34,.14102294,.10485499,.081394017,.047071133,.072557062,.078631304,.071290471,.071290471,.088220753,
35,.1320878,.092486806,.060695298,.0336698,.061831951,.073548004,.051225752,.051225752,.075796857,
36,.1160627,.080526568,.044803239,.027285738,.047884319,.070484959,.038030732,.038030732,.065803394,
37,.10192903,.06698861,.034498557,.021402443,.035982806,.065539382,.026706919,.026706919,.055505134,
38,.082076237,.053783607,.027545458,.0152979,.025064154,.057143617,.01800584,.01800584,.043742213,
39,.062890068,.041483782,.021483693,.011940058,.014611893,.048693184,.01281883,.01281883,.032962535,
40,.043325044,.02831958,.016104788,.011494253,.0079332618,.034887251,.010283375,.010283375,.024726072,
41,.036104925,.020659203,.012050133,.012050133,.0052913665,.0052913665,.0080037042,.0080037042,.017820725,
42,.030906383,.013833441,.0096218195,.0096218195,.0043650796,.0043650796,.0060888147,.0060888147,.013886232,
43,.031476382,.0085424008,.0076721399,.0076721399,.0036377467,.0036377467,.0056818184,.0056818184,.012608339,
44,.031855516,.0043134582,.0059835268,.0059835268,.0034327216,.0034327216,.0056818184,.0056818184,.009246151,
45,.031342711,.0027762118,.0045356951,.0045356951,.0028199987,.0028199987,.0056818184,.0056818184,.0056818184,
